Parameter,Value,Score
REASON,HomeImp,40.27434223181648
REASON,DebtCon,49.484744032968486
JOB,Sales,3.8527262435052876
JOB,Self,30.993074813325673
JOB,Other,39.327274311890804
JOB,UnEmp,46.54095595936646
JOB,ProfExe,52.308946921247426
JOB,Mgr,52.700875871806076
JOB,Office,65.73162300110944
LOAN,"(2999.999, 10300.0]",37.291589363367976
LOAN,"(17100.0, 20400.0]",45.34655871546492
LOAN,"(20400.0, 25900.0]",46.73840225351175
LOAN,"(13500.0, 17100.0]",48.76984885042505
LOAN,"(25900.0, 42200.0]",48.82512763512922
LOAN,"(10300.0, 13500.0]",54.5763897823259
MORTDUE,"(59905.0, 71370.6]",43.936246105974526
MORTDUE,"(5075.999, 45788.2]",43.98793425721739
MORTDUE,"(45788.2, 59905.0]",46.26762241086087
MORTDUE,"(94099.4, 154005.0]",49.053172448373
MORTDUE,"(71370.6, 94099.4]",50.577737257729694
VALUE,"(27780.999, 68172.6]",38.949230058561916
VALUE,"(68172.6, 86365.0]",46.13134987665358
VALUE,"(123808.4, 205613.0]",48.16669735681718
VALUE,"(86365.0, 98691.4]",49.136053920671664
VALUE,"(98691.4, 123808.4]",52.59030549377744
YOJ,"(4.0, 11.0]",43.91635590011152
YOJ,"(-0.001, 4.0]",44.0703780871776
YOJ,"(11.0, 30.0]",53.95808104739542
CLNO,"(0.958, 15.0]",40.805180011550796
CLNO,"(15.0, 29.0]",48.24564248051476
CLNO,"(29.0, 43.0]",50.929086464724485
CLAGE,"(7.659, 107.033]",23.221133501277162
CLAGE,"(107.033, 206.01]",47.89255115511462
CLAGE,"(206.01, 304.988]",64.70068571744892
CLAGE,"(304.988, 403.965]",80.97196818739306
DEBTINC,"(38.813, 50.353]",36.65771658733442
DEBTINC,"(27.274, 38.813]",46.57512918041642
DEBTINC,"(15.7, 27.274]",74.73345660308787
DEROG,yes,25.72737517487034
DEROG,no,50.74549775848868
DELINQ,yes,0.9744982020548889
DELINQ,one,50.469332329146496
DELINQ,no,52.570282731370845
NINQ,4ormore,11.326585677174542
NINQ,3orless,47.17108277773557
NINQ,one,47.598384894839064
NINQ,no,49.206611924119564
